epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,728.656,0.28,3.81137,0.95015,0.64318,0.09392,0.11801,0.09752,0.61674,3.8343,0.83715,9.1612e-06,9.1612e-06,9.1612e-06
40,747.048,0.27835,3.79854,0.95573,0.66581,0.07261,0.13221,0.1113,0.63202,3.82948,0.84689,8.4286e-06,8.4286e-06,8.4286e-06
41,766.172,0.33008,3.94111,0.99289,0.58985,0.1812,0.20078,0.17586,0.64048,3.79217,0.83441,7.696e-06,7.696e-06,7.696e-06
42,784.725,0.25775,3.75147,0.95168,0.56678,0.1894,0.19106,0.16653,0.62465,3.68597,0.82633,6.9634e-06,6.9634e-06,6.9634e-06
43,803.057,0.2587,3.69204,0.94462,0.58839,0.17999,0.18539,0.15958,0.62455,3.6627,0.83373,6.2308e-06,6.2308e-06,6.2308e-06
44,821.316,0.25131,3.65099,0.94583,0.59129,0.1812,0.16177,0.1388,0.59979,3.64591,0.81331,5.4982e-06,5.4982e-06,5.4982e-06
45,839.541,0.24016,3.62594,0.93632,0.59596,0.1812,0.16665,0.14381,0.59555,3.65576,0.80514,4.7656e-06,4.7656e-06,4.7656e-06
46,857.896,0.23027,3.60354,0.93273,0.59498,0.15795,0.157,0.13483,0.60623,3.64701,0.81599,4.033e-06,4.033e-06,4.033e-06
47,876.206,0.22806,3.57692,0.93085,0.59853,0.15795,0.16676,0.14448,0.60612,3.65028,0.81564,3.3004e-06,3.3004e-06,3.3004e-06
48,894.554,0.23783,3.58816,0.93406,0.6015,0.15795,0.17443,0.14829,0.60254,3.65114,0.81276,2.5678e-06,2.5678e-06,2.5678e-06
49,912.799,0.24374,3.60309,0.92977,0.59196,0.1812,0.17705,0.14892,0.59732,3.64221,0.80666,1.8352e-06,1.8352e-06,1.8352e-06
50,930.978,0.23712,3.5901,0.93454,0.63227,0.15019,0.16002,0.13837,0.59868,3.64483,0.80943,1.1026e-06,1.1026e-06,1.1026e-06
